RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
1,Joel Embiid,Phi,C-F,29.1,66,34.6,37.1,14.5,771,0.857,1128,0.587,200,0.33,0.573,0.655,33.1,10.2,4.2,1,1.7,3.4,43.2,37.2,47.4,13,124.4,104.2
2,Luka Doncic,Dal,F-G,24.1,66,36.2,37.7,14,694,0.742,908,0.588,541,0.342,0.56,0.609,32.4,8.6,8,1.4,0.5,3.6,41,40.4,49,14.4,120.2,109.1
3,Damian Lillard,Por,G,32.7,58,36.3,33.8,13.7,558,0.914,544,0.574,658,0.371,0.564,0.645,32.2,4.8,7.3,0.9,0.3,3.3,36.9,39.5,44.3,11.5,126.7,117.1
4,Shai Gilgeous-Alexander,Okc,G-F,24.7,68,35.5,32.8,12.2,739,0.905,1213,0.533,168,0.345,0.531,0.626,31.4,4.8,5.5,1.6,1,2.8,36.2,36.9,41.7,10.6,124.9,110
5,Giannis Antetokounmpo,Mil,F,28.3,63,32.1,38.8,16.2,772,0.645,1108,0.596,171,0.275,0.571,0.605,31.1,11.8,5.7,0.8,0.8,3.9,42.9,36.8,48.6,15.9,116.9,100.5
6,Jayson Tatum,Bos,F-G,25.1,74,36.9,32.7,12,622,0.854,873,0.558,686,0.35,0.543,0.607,30.1,8.8,4.6,1.1,0.7,2.9,38.8,34.7,43.5,11.6,118.6,106.6
7,Kevin Durant,Bro,F,34.5,39,36,31.5,15.6,285,0.937,545,0.622,189,0.376,0.607,0.674,29.7,6.7,5.3,0.8,1.5,3.5,36.4,35,41.7,11.3,122.3,110.4
8,Stephen Curry,Gol,G,35.1,55,34.9,31,13.7,278,0.914,489,0.577,629,0.426,0.612,0.654,29.5,6.1,6.3,0.9,0.4,3.2,35.6,35.8,41.9,12,122.9,112.3
9,LeBron James,Lal,F,38.3,54,35.6,33.3,12.9,325,0.766,830,0.582,363,0.311,0.547,0.582,28.8,8.3,6.8,0.9,0.6,3.3,37.1,35.6,43.9,13.2,114.1,110.3
10,Donovan Mitchell,Cle,G,26.6,68,35.8,32.1,11.4,368,0.867,767,0.566,635,0.386,0.572,0.614,28.3,4.3,4.4,1.5,0.4,2.6,32.5,32.7,36.9,9.1,118.8,107.2
11,Devin Booker,Pho,G,26.4,53,34.6,31.8,12,358,0.855,751,0.554,316,0.351,0.546,0.601,27.8,4.5,5.5,1,0.3,2.7,32.3,33.3,37.8,10.2,118.8,109
